,id,created_at,original_text,clean_text,polarity,subjectivity,favorite_count,retweet_count,possibly_sensitive,hashtags,user_mentions,place
20,1253599786974023680,Fri Apr 24 08:20:54 +0000 2020,this is where I’m going on the 1st of May after boeka. SOMEONE STOP ME I DARE YOU. https://t.co/cIWy78449O,Im going st May boeka SOMEONE STOP ME I DARE YOU,0.0,0.0,3,1,False,,,
21,1263949796232105989,Fri May 22 21:48:09 +0000 2020,@aqi__x 😒😒😒 still not over the fact you hit the transfer market for someone else and I got stuck with Ronald,still fact hit transfer market someone else I got stuck Ronald,0.0,0.0,0,0,,,,"Cape Town, South Africa"
22,1263948195731816454,Fri May 22 21:41:47 +0000 2020,"Yoh.. guys to think when I was on UWC. My friends and I use to drik Dums and have like a speaker move... Since I was always hungry I use to charge people in the CAF for their song requests so that I can buy me a dyt. 
I miss those days. 
@aqi__x being my dums partner &amp; dinge",Yoh.. guys think I UWC My friends I use drik Dums like speaker move ... Since I always hungry I use charge people CAF song requests I buy dyt I miss days dums partner amp dinge,0.0,0.0,15,1,,,,"Cape Town, South Africa"
23,1249115457304608769,Sat Apr 11 23:21:47 +0000 2020,my photos go unnoticed. 🙃 https://t.co/HAmpYcYZMr,photos go unnoticed,-0.2,0.6,1,0,False,,,
24,1253575052324474880,Fri Apr 24 06:42:37 +0000 2020,6 days to go until we open in our @FreshstopSA stores! We’re so looking forward to seeing you! ✨☕️,days go open stores Were looking forward seeing,0.0,0.5,131,20,,,FreshstopSA,
25,1288506261798084614,Wed Jul 29 16:06:46 +0000 2020,"today I got told I look VERY ugly without make up 🌝. so here I am , you know. wearing make up 😳💀 https://t.co/ugCQeLnM58",today I got told I look VERY ugly without make I know wearing make,-0.9099999999999999,1.0,119,12,False,,,
26,1281423710768058371,Fri Jul 10 03:03:15 +0000 2020,not Luqmaan fighting the julle demons at 5am😔,Luqmaan fighting julle demons,0.0,0.0,2,0,,,,
27,1262703206158807040,Tue May 19 11:14:38 +0000 2020,@aqi__x @ImaadGvr Your soul please https://t.co/2Rwu8zlDL9,Your soul please,0.0,0.0,0,0,False,,ImaadGvr,"Cape Town, South Africa"
28,1281723881322094598,Fri Jul 10 22:56:01 +0000 2020,@M_Ameen_Shaik @aqi__x CEO of talking to himself,CEO talking,0.0,0.0,1,0,,,M_Ameen_Shaik,"Cape Town, South Africa"
29,1288515815806054402,Wed Jul 29 16:44:44 +0000 2020,"@bobsyouruncleCP lmao , ain’t no thang but a chicken wang💀",lmao aint thang chicken wang,0.0,0.975,1,0,,,bobsyouruncleCP,
30,1288507186008727555,Wed Jul 29 16:10:27 +0000 2020,@aqi__x Whoever told you that is a poes.,Whoever told poes,0.0,0.0,1,0,,,,"Cape Town, South Africa"
31,1268877492200275970,Fri Jun 05 12:09:03 +0000 2020,@danielsunss yeah I have been. I’m not gonna lie. But I’m not fighting with you on the tl. and I’ve stopped.,yeah I Im gon na lie But Im fighting tl Ive stopped,0.0,0.0,0,1,,,danielsunss,
32,1253420105263837185,Thu Apr 23 20:26:55 +0000 2020,SA influenzas / “celebs” are really not funny hey 😭. they’re so gawddamn cringe 😭,SA influenzas celebs really funny hey theyre gawddamn cringe,0.25,1.0,60,5,,,,
33,1253666921020604423,Fri Apr 24 12:47:40 +0000 2020,"@aqi__x Finally someone said it
Even in person they try to be funny so much
Repeating jokes or things they want to brag about",Finally someone said itEven person try funny muchRepeating jokes things want brag,0.125,1.0,0,0,,,,"Elsies River, South Africa"
34,1264161384876716032,Sat May 23 11:48:55 +0000 2020,Take your pie and waai. https://t.co/BTdUt4zjG1,Take pie waai,0.0,0.0,0,0,False,,,"Cape Town, South Africa"
35,1288516288252444672,Wed Jul 29 16:46:37 +0000 2020,@aqi__x Aweh who cares what they say right,Aweh cares say right,0.2857142857142857,0.5357142857142857,0,0,,,,"Cape Town, South Africa"
36,1268893837537181696,Fri Jun 05 13:14:00 +0000 2020,Still interacting with abusers on the tl for what😭?,Still interacting abusers tl,0.0,0.0,71,14,,,,
37,1281632895736647680,Fri Jul 10 16:54:28 +0000 2020,"maybe , just maybe , it’s time I forgave him. not for my sake or for his. but for the sake of Allah 😔❤️. 
making duah my heart heals and it finds contentment insha Allah ❤️",maybe maybe time I forgave sake sake Allah making duah heart heals finds contentment insha Allah,0.0,0.0,6,1,,,,
38,1263948525957677063,Fri May 22 21:43:06 +0000 2020,Upper caf was where it was. I’ve never been able to be as rude on the table since. 😔 https://t.co/WctZdwXBX7,Upper caf Ive never able rude table since,-0.18333333333333335,0.4083333333333334,5,1,False,,,
39,1262704404781826048,Tue May 19 11:19:24 +0000 2020,@aqi__x Your request is denied,Your request denied,0.0,0.0,0,0,,,,"Cape Town, South Africa"
