,tweet_text,tweet_date,retweet_count,favorite_count
WorldResources,b'China\xe2\x80\x99s new climate pledges represent an exciting morale boost at a time when the impacts of #climate change have never been clearer. \n\nNow the world is watching to see how the country will turn these pledges into action. \n\nRead on: https://t.co/oYnQheRCtA',Wed Sep 30 19:50:01 +0000 2020,2,5
Khagali_M,"b""RT @Muthungu9: Animations always attracts children's attention \nThe best way and fun way  to teach a child is the use of animated videos\n#K\xe2\x80\xa6""",Thu Oct 01 17:06:02 +0000 2020,12,0
Saadiq77,b'@Trackmann @Kalasinga_ Media is powerful tool',Thu Sep 10 07:18:44 +0000 2020,1,2
Miano_wandia,"b'RT @KoinangeJeff: New Week, New SHOWs.....Welcome to the HOTTEST Breakfast Show in ALL of Africa @Hot_96Kenya with #JeffAndHamoOnHot....Spr\xe2\x80\xa6'",Mon Sep 28 06:19:07 +0000 2020,25,0
petra57965851,b'RT @AkintayoSamue13: At a point after taking life all serious remember to rest and flex or else you would be worn out \nTake time to laugh a\xe2\x80\xa6',Thu Oct 01 23:47:04 +0000 2020,1,0
georginajsmith,b'RT @nazaninemoshiri: Uproar after Somali lawmaker presents bill to legalise child marriage https://t.co/kjPc1KHrtc',Fri Aug 21 16:53:56 +0000 2020,2,0
corneliuzbett,b'@Nanjala1 Pandemia',Thu Sep 17 16:29:09 +0000 2020,0,0
VictorMgendi,b'RT @unhabitatyouth: We only have 8 years to stop climate change and turnaround our world\xe2\x80\x99s environment. Join us at @COP25CL at the #Situati\xe2\x80\xa6',Sat Nov 30 15:26:02 +0000 2019,22,0
Infinical1,b'RT @r_FlutterDev: Flutter has officially taken over react native as the most searched for framework according to Google Trends! https://t.c\xe2\x80\xa6',Wed Sep 02 11:12:23 +0000 2020,7,0
avipsa_m,"b'RT @EIAEnvironment: When it comes to Trump rollbacks on #SuperPollutant, HFCs, 166 MMT is just the tip of the iceberg. @rhodium_group analy\xe2\x80\xa6'",Fri Sep 18 16:08:00 +0000 2020,5,0
cassildemuhoza,b'RT @lambe_fiona: Check out our paper just out in World Development proposing a new service design-driven conceptual framework for understan\xe2\x80\xa6',Sat Oct 19 14:04:40 +0000 2019,15,0
okmartt,b'RT @shl: You\xe2\x80\x99d be surprised how far you\xe2\x80\x99ll get by just doing what you say you\xe2\x80\x99ll do.',Wed Sep 30 20:36:35 +0000 2020,1165,0
Owiraowira,"b'RT @CareyBaraka: daily reminder that in 2002 gidigidi was one half of the hottest rap duo in east Africa, and jacob ghost mulee was the har\xe2\x80\xa6'",Thu Oct 01 18:15:42 +0000 2020,29,0
CcPrakay,b'RT @YuHelenYu: Pleased to share my perspectives on What strategies and tactics #IT leaders in #education should take to cope with the pande\xe2\x80\xa6',Thu Oct 01 17:20:12 +0000 2020,9,0
TVSokoKe_,"b'RT @WatchTanzania: Introducing Mr. @davidmakali1, a prominent journalist, media personality and an advocate of press freedom. Mr. Makali is\xe2\x80\xa6'",Thu Oct 01 11:52:54 +0000 2020,47,0
PeggyMMwanza,b'RT @FutureKingArt: Take your relationship with God more seriously!',Wed Sep 30 13:05:16 +0000 2020,20987,0
freedom32249947,b'RT @nyamadon: Midday tomorrow. Make it a date on national broadcaster @ubctvuganda.\n@FrankTumwebazek @MauriceMugisha',Wed Sep 30 20:47:57 +0000 2020,27,0
Ochweri,b'RT @danielallyway: Retweet if you\xe2\x80\x99re ready to receive God\xe2\x80\x99s Abundance! https://t.co/3jD8ESmfGb',Fri May 29 06:34:42 +0000 2020,16,0
Delinah_Mijide,b'@vivian_kobe @EddieMors1 @Korney480 @SyvetSafaris @kenyapics Missed you guys too.... It seems like ages',Tue Sep 29 06:03:21 +0000 2020,0,1
milliciachris,b'RT @busolomaareezz: QUARANTINED. \xf0\x9f\xa4\x94 \xf0\x9f\xa4\x94 https://t.co/4Se2XkyJZO',Fri Oct 02 05:38:03 +0000 2020,2,0
emmyeprong2,b'RT @postpolitics: Romney becomes the latest Republican to offer a dubious historic rationale to side with Trump https://t.co/0lOtAQbNS0',Tue Sep 22 16:42:26 +0000 2020,6,0
EFEafrica,"b'El Gobierno de #Zimbabue acus\xc3\xb3 hoy al Movimiento por el Cambio Democr\xc3\xa1tico (MDC), principal partido de la oposici\xc3\xb3n, de introducir armas en el pa\xc3\xads para ejecutar un supuesto golpe de Estado contra el presidente, hechos que el MDC niega rotundamente.'",Tue Sep 29 13:22:45 +0000 2020,0,1
Mabdirisack1,"b'RT @KingYusufYusuff: President @M_Farmaajo : ""I compromised for the benefit of the Somalia \xf0\x9f\x87\xb8\xf0\x9f\x87\xb4 unity, because I didn\xe2\x80\x99t want the country to f\xe2\x80\xa6'",Sat Sep 19 03:10:03 +0000 2020,69,0
legendary_qt_,"b'@victorianyanzi I gave up on that generation , I\xe2\x80\x99m bleeding young Kings who know what to do with money .'",Thu Oct 01 19:31:16 +0000 2020,0,4
