,Unnamed: 0,id,created_at,clean_text,hashtags,place,timeline
339,174,1.31125E+18,2020-09-30 10:35:57+00:00,Professional dust fallout monitoring evaluation put end often misplaced sources dust fallout NCC 's technicians able set manage aspects Read,"dustfalloutmonitoring, environment, airquality, development",,post
340,175,1.30326E+18,2020-09-08 09:08:24+00:00,International Day Clean Air Blue Skies,"PJC, cleanair, bkueskies, internationaldays, sustainabledevelopmentgoals","Cape Town, South Africa",post
341,176,1.29016E+18,2020-08-03 05:49:55+00:00,"Beautiful 13,35km walk middle nowhere 4.5hrs Came cuts scratches worth Silvermine…","gayinstagram, gaystraightalliance, gayboy, hikes, nature, freshair, loveislove","Cape Town, South Africa",post
342,177,1.29422E+18,2020-08-14 10:46:28+00:00,My City 2020 Camps…,"mycity, campsbay, llandudno, capetown, southafrica, morninghike, honeyguidehikes, mountain, sea, fynbos, nature, oldfriends, newfriends, freshair, rsa_minimal, gratefulforthesemoments","Cape Town, South Africa",post
343,178,1.31082E+18,2020-09-29 06:10:12+00:00,reduces 'll responsible FEWER added Good Tuesday morning fellow ‍️‍️,"Cycling, carbonfootprint, emissions, atmosphere, BikeFriends",,post
344,179,1.31121E+18,2020-09-30 07:30:58+00:00,We look forward seeing fantastic South African journalist goes next She covered clear focus social justice All best,"ClimateChange, AirPollution",,post
345,180,1.3112E+18,2020-09-30 07:10:17+00:00,After 15 years today last day Saturday Star I ’ blessed work learn incredible journalists made great friends grateful editors supported encouraged work Onto next exciting chapter environmental journalism,,,post
346,181,1.31121E+18,2020-09-30 07:30:58+00:00,We look forward seeing fantastic South African journalist goes next She covered clear focus social justice All best,"ClimateChange, AirPollution",,post
347,182,1.3112E+18,2020-09-30 07:10:17+00:00,After 15 years today last day Saturday Star I ’ blessed work learn incredible journalists made great friends grateful editors supported encouraged work Onto next exciting chapter environmental journalism,,,post
348,183,1.31121E+18,2020-09-30 07:30:58+00:00,We look forward seeing fantastic South African journalist goes next She covered clear focus social justice All best,"ClimateChange, AirPollution",,post
349,184,1.3112E+18,2020-09-30 07:10:17+00:00,After 15 years today last day Saturday Star I ’ blessed work learn incredible journalists made great friends grateful editors supported encouraged work Onto next exciting chapter environmental journalism,,,post
350,185,1.31121E+18,2020-09-30 07:30:58+00:00,We look forward seeing fantastic South African journalist goes next She covered clear focus social justice All best,"ClimateChange, AirPollution",,post
351,186,1.3112E+18,2020-09-30 07:10:17+00:00,After 15 years today last day Saturday Star I ’ blessed work learn incredible journalists made great friends grateful editors supported encouraged work Onto next exciting chapter environmental journalism,,,post
352,187,1.31121E+18,2020-09-30 07:30:58+00:00,We look forward seeing fantastic South African journalist goes next She covered clear focus social justice All best,"ClimateChange, AirPollution",,post
353,188,1.3112E+18,2020-09-30 07:10:17+00:00,After 15 years today last day Saturday Star I ’ blessed work learn incredible journalists made great friends grateful editors supported encouraged work Onto next exciting chapter environmental journalism,,,post
354,189,1.31121E+18,2020-09-30 07:30:58+00:00,We look forward seeing fantastic South African journalist goes next She covered clear focus social justice All best,"ClimateChange, AirPollution",,post
