,id,created_at,clean_text,hashtags,place,timeline
51,1264163567537983488,Sat May 23 11:57:36 +0000 2020,I 'm sure baby shaak I remember I talking much trash table I told someone Muslim vrieting alot vark table ne.. yoh I felt sleg afterwards I apologize afterwards,,"Cape Town, South Africa",during
52,1281425735811465222,Fri Jul 10 03:11:17 +0000 2020,Do n't,,"Cape Town, South Africa",during
53,1286705807753490433,Fri Jul 24 16:52:25 +0000 2020,Dusk ... capetown Camps Bay Western Cape South Africa,"dusk, blue, yellow, orange, sky, ocean, mountain, nature, freshair, sunlight, walk, campsbay, southafrica, rsa_minimal, gratefulforthesemoments","Cape Town, South Africa",during
54,1272799832386781184,Tue Jun 16 07:55:02 +0000 2020,get day started Visited special route spot Constantia Green-belt,"soloride, freshair, wearingamask, mtbride, braaitime","Cape Town, South Africa",during
55,1258711345144397824,Fri May 08 10:52:25 +0000 2020,Lockdown permitted outdoors exercise Fresh air Healthy bodies Healthy minds sa Cape Town Western Province South Africa,"lockdown, exercise, freshair, healthylifestyle","Cape Town, South Africa",during
56,1248937654730842113,Sat Apr 11 11:35:15 +0000 2020,Just regular software engineer job,"lockdownlife, work, play, freshair","Cape Town, South Africa",during
57,1252951624122761216,Wed Apr 22 13:25:20 +0000 2020,Im desperate yard time I might actually hike Lions Head,"lockdown, Capetown, Lionshead, exercise, freshair, iliveinabox","Cape Town, South Africa",during
58,1282000429195329538,Sat Jul 11 17:14:55 +0000 2020,,"SaturdayMood, freshair, winter",Hout Bay Beach,during
59,1263021982318198784,Wed May 20 08:21:21 +0000 2020,Lions Head Saturday morning Missing mountain beautiful views offers ... ...,"lionshead, hike, mountain, freshair, peace, views, capetown, southafrica, lockdown",,during
60,1279354236254523392,Sat Jul 04 09:59:53 +0000 2020,Surfers Corner,"freshair, relaxation, muizenberg, excercise","Cape Town, South Africa",during
61,1267169375909445632,Sun May 31 19:01:36 +0000 2020,A sense freedom,FreshAir,Grand Cafe and Beach,during
62,1288916815763177474,Thu Jul 30 19:18:10 +0000 2020,I really enjoyed tonight 's EnviroChat,"Pietermaritzburg, LandfillSiteFire, AirPollution, EnviroChatWithLesego, EnviroChat, environmental, COVID19","Johannesburg, South Africa",during
63,1245964583002673152,Fri Apr 03 06:41:20 +0000 2020,iyoooooowe,,"Soweto, South Africa",during
64,1277294707102580736,Sun Jun 28 17:36:03 +0000 2020,You know mos,,"Roodepoort, South Africa",during
65,1256225250808864772,Fri May 01 14:13:33 +0000 2020,Covid break anything.It exposed already broken.We waste opportunity fix it.It might last..,"youpayitforward, peoplematter, economy, poverty, health, education, equality, housing, sanitation, employment, cleanair","Randburg, South Africa",during
66,1247457934113673218,Tue Apr 07 09:35:22 +0000 2020,Do n't let lockdown infect mind Read exercise eat well-that means keep diet check And n't forget pray,"Day12OfLockdown, covid19, coronavirus, isolated, freshair, lockdown, fashion, stilllookcutetho","Roodepoort, South Africa",during
67,1279386498505334790,Sat Jul 04 12:08:05 +0000 2020,Isolation causing havoc ... .missing cycling,"outdoors, cycling, freshair, dogsbarcking, exploring, neighborhood","Edenvale, South Africa",during
68,1257977861031542788,Wed May 06 10:17:48 +0000 2020,On road nowhere ... ... mask Edenvale Gauteng South Africa,"mtb, mtblife, mtblifestyle, cannondale, cannondalemtb, lockdown, lockdownsa, sun, freshair","Edenvale, South Africa",during
69,1284535896767901696,Sat Jul 18 17:09:57 +0000 2020,Always chasing sunshine,"girlswhohike, Saturdaywalks, sunshine, freshair","Sandton, South Africa",during
70,1274559934605283334,Sun Jun 21 04:29:03 +0000 2020,Immunological angle deficiency nexus transmission,"AirPollution, VitaminD, COVID19","Central, Ghana",during
71,1274557028128772096,Sun Jun 21 04:17:30 +0000 2020,exposure deficiency nexus transmission,"AirPollution, VitaminD, COVID19","Central, Ghana",during
72,1262066681465180160,Sun May 17 17:05:19 +0000 2020,Thoughts part response go forward let us reduce reducing,"indoor, airquality, Africa, cleanenergy, COVID19, BuildBackBetter, injustice, AirPollution, policies, inequalities, cleancooking","Nairobi, Kenya",during
73,1257745348711329801,Tue May 05 18:53:53 +0000 2020,What indoors ensure households means good A short commentary- let us take action,"Airpollution, COVID19, cleanenergy, Africa, cookinginquarantine, AirQuality","Nairobi, Kenya",during
74,1252923429688393730,Wed Apr 22 11:33:18 +0000 2020,,,,during
75,Did know people In world breathe unsafe air actually every people world breathe air considered safe This conversation currently ongoing join using link,0.16666666666666666,15,,,during
76,1257738629985730561,Tue May 05 18:27:11 +0000 2020,Air pollution Africa time COVID-19 commentary Exposure indoor air pollution elephant room directives stay home yet health burden indoor pollution high,,,during
77,1255724504610988032,Thu Apr 30 05:03:46 +0000 2020,The AQI Good Nairobi see AirVisual,,"Nairobi, Kenya",during
78,1278002563292504070,Tue Jun 30 16:28:49 +0000 2020,The data open available online already huge step,AirQuality,"Nairobi, Kenya",during
79,1262066681465180160,Sun May 17 17:05:19 +0000 2020,Thoughts part response go forward let us reduce reducing,"indoor, airquality, Africa, cleanenergy, COVID19, BuildBackBetter, injustice, AirPollution, policies, inequalities, cleancooking","Nairobi, Kenya",during
80,1278001667884093442,Tue Jun 30 16:25:16 +0000 2020,Oh stinks With rise low cost sensors I hope way researchers get access,,,during
81,1267072943697408001,Sun May 31 12:38:25 +0000 2020,Weve recently published one registry based studies Africa utilising relatively well developed EMR death registry Botswana Even authors took us well six months collate clean check data,,,during
82,1267327896512876544,Mon Jun 01 05:31:30 +0000 2020,In workshop looking health data told Botswana process digitizing gotten last year..,airquality,"Nairobi, Kenya",during
83,1249102451463970816,Sat Apr 11 22:30:06 +0000 2020,Weekend Drive around Nairobi Nairobi,"mask, FreshAir","Nairobi, Kenya",during
84,1258818186755166217,Fri May 08 17:56:58 +0000 2020,... ... ...,"karuaforest, workout, enjoylife, sunshine, freshair, stayfit, stayyoung, monkey, workoutmotivation, workoutplan, workouttime, workouttime, stayyoung, stayfit, stayhappyandhealthy, healthyskin","Nairobi, Kenya",during
85,1248988162539618306,Sat Apr 11 14:55:57 +0000 2020,nature ... ... ...,"walkingonsunshine, forest, monkeys, butterfly, birds, flowerpower, freshair, workout, outofafrica, kenya, nairobi, lockdown, freshair, workout, talk, flowerpower, happiness, sunshine","Nairobi, Kenya",during
86,1275409744694587394,Tue Jun 23 12:45:53 +0000 2020,Happening First virtual meeting Gap Report w/ Steering Committee lead authors partners Assessing pre- current world inform talks,"emissions, emissions, COVID, ClimateChange",Runda Estate,during
87,1249072783067353088,Sat Apr 11 20:32:12 +0000 2020,Hi I liked report effect K'la It really legit need learn loads It wo 'd inform policy order indeed,"lockdown, airquality, StayHomeSaveLifes","Wakiso, Uganda",during
88,1257929982485151745,Wed May 06 07:07:33 +0000 2020,Wearing certain commonly seen partial face masks covering nose mouth openings block pollen dust large particulates Covid-19 aerosols For Covid-19 require type known N95 For frontline workers full PPEs Plan vital N95,,"Kampala, Uganda",during
0,1302893126495932416,Mon Sep 07 08:55:02 +0000 2020,Air pollution threat sustainable development simultaneously affects various social environmental amp economic criteria linked equitable human development good health food security gender equality climate stability amp poverty reduction,WorldCleanAirDay,,post
1,1302895825769689088,Mon Sep 07 09:05:46 +0000 2020,What contribution especially Take Action today,"WorldCleanAirDay, StareDownOnPollution, AirPollution, Sustainable, Cycling","Lagos, Nigeria",post
2,1302893126495932416,Mon Sep 07 08:55:02 +0000 2020,Air pollution threat sustainable development simultaneously affects various social environmental amp economic criteria linked equitable human development good health food security gender equality climate stability amp poverty reduction,WorldCleanAirDay,,post
3,1302895825769689088,Mon Sep 07 09:05:46 +0000 2020,What contribution especially Take Action today,"WorldCleanAirDay, StareDownOnPollution, AirPollution, Sustainable, Cycling","Lagos, Nigeria",post
4,1302893126495932416,Mon Sep 07 08:55:02 +0000 2020,Air pollution threat sustainable development simultaneously affects various social environmental amp economic criteria linked equitable human development good health food security gender equality climate stability amp poverty reduction,WorldCleanAirDay,,post
