,id,created_at,clean_text,hashtags,place,timeline
190,1.3112E+18,Wed Sep 30 07:10:17 +0000 2020,After 15 years today last day Saturday Star I ’ blessed work learn incredible journalists made great friends grateful editors supported encouraged work Onto next exciting chapter environmental journalism,,,post
191,1.31121E+18,Wed Sep 30 07:30:58 +0000 2020,We look forward seeing fantastic South African journalist goes next She covered clear focus social justice All best,"ClimateChange, AirPollution",,post
192,1.3112E+18,Wed Sep 30 07:10:17 +0000 2020,After 15 years today last day Saturday Star I ’ blessed work learn incredible journalists made great friends grateful editors supported encouraged work Onto next exciting chapter environmental journalism,,,post
193,1.31121E+18,Wed Sep 30 07:30:58 +0000 2020,We look forward seeing fantastic South African journalist goes next She covered clear focus social justice All best,"ClimateChange, AirPollution",,post
194,1.3112E+18,Wed Sep 30 07:10:17 +0000 2020,After 15 years today last day Saturday Star I ’ blessed work learn incredible journalists made great friends grateful editors supported encouraged work Onto next exciting chapter environmental journalism,,,post
195,1.30325E+18,Tue Sep 08 08:41:42 +0000 2020,Air pollution causes respiratory heart problems And already pre-existing respiratory conditions asthma pneumonia suffer Prevent air pollution,"CleanAirForAll, CleanAirJoburg, CleanAir, SolutionToPollution","Johannesburg, South Africa",post
196,1.30286E+18,Mon Sep 07 06:47:39 +0000 2020,The UN General Assembly adopted resolution designate today 7th September International Day Clean Air Blue Skies part effort improve air quality awareness,"CleanAirForAll, CleanAir, worldcleanairday, CleanTheAir, GlobalGoals","Johannesburg, South Africa",post
197,1.31121E+18,Wed Sep 30 07:30:58 +0000 2020,We look forward seeing fantastic South African journalist goes next She covered clear focus social justice All best,"ClimateChange, AirPollution",,post
198,1.3112E+18,Wed Sep 30 07:10:17 +0000 2020,After 15 years today last day Saturday Star I ’ blessed work learn incredible journalists made great friends grateful editors supported encouraged work Onto next exciting chapter environmental journalism,,,post
199,1.30325E+18,Tue Sep 08 08:41:42 +0000 2020,Air pollution causes respiratory heart problems And already pre-existing respiratory conditions asthma pneumonia suffer Prevent air pollution,"CleanAirForAll, CleanAirJoburg, CleanAir, SolutionToPollution","Johannesburg, South Africa",post
200,1.30286E+18,Mon Sep 07 06:47:39 +0000 2020,The UN General Assembly adopted resolution designate today 7th September International Day Clean Air Blue Skies part effort improve air quality awareness,"CleanAirForAll, CleanAir, worldcleanairday, CleanTheAir, GlobalGoals","Johannesburg, South Africa",post
201,1.31121E+18,Wed Sep 30 07:30:58 +0000 2020,We look forward seeing fantastic South African journalist goes next She covered clear focus social justice All best,"ClimateChange, AirPollution",,post
202,1.3112E+18,Wed Sep 30 07:10:17 +0000 2020,After 15 years today last day Saturday Star I ’ blessed work learn incredible journalists made great friends grateful editors supported encouraged work Onto next exciting chapter environmental journalism,,,post
203,1.30325E+18,Tue Sep 08 08:41:42 +0000 2020,Air pollution causes respiratory heart problems And already pre-existing respiratory conditions asthma pneumonia suffer Prevent air pollution,"CleanAirForAll, CleanAirJoburg, CleanAir, SolutionToPollution","Johannesburg, South Africa",post
204,1.30286E+18,Mon Sep 07 06:47:39 +0000 2020,The UN General Assembly adopted resolution designate today 7th September International Day Clean Air Blue Skies part effort improve air quality awareness,"CleanAirForAll, CleanAir, worldcleanairday, CleanTheAir, GlobalGoals","Johannesburg, South Africa",post
205,1.29293E+18,Mon Aug 10 20:59:00 +0000 2020,Monday Movements OutDoor Chapterz Part 1 Hike Like Sunday wit Homeyz Modderfontein Reserve,"outdoors, life, living, Family, friends, trips, tripstagram, photoshoot, freshair","Johannesburg, South Africa",post
206,1.3044E+18,Fri Sep 11 13:02:17 +0000 2020,Another awesome day saddle Gauteng,"mtb, mtblife, mtbcannondale, sunrise, sunshine, sun, freshair, freshairtherapy, cannondale, cycle, cycling","Randburg, South Africa",post
207,1.31121E+18,Wed Sep 30 07:30:58 +0000 2020,We look forward seeing fantastic South African journalist goes next She covered clear focus social justice All best,"ClimateChange, AirPollution",,post
208,1.3112E+18,Wed Sep 30 07:10:17 +0000 2020,After 15 years today last day Saturday Star I ’ blessed work learn incredible journalists made great friends grateful editors supported encouraged work Onto next exciting chapter environmental journalism,,,post
